cells	label
NTC117-0322	N
NTC137-0322	N
NTC143-0322	N
NTC145-0322	N
NTC147-0322	N
NTC149-0322	N
NTC150-0322	N
NTC161-0322	N
NTC165-0322	N
NTC172-0322	N
NTC174-0322	N
NTC182-0322	N
NTC187-0322	N
NTC188-0322	N
NTC19-0322	N
NTC191-0322	N
NTC2-0322	N
NTC3-0322	N
PTC1-0322	P
PTC108-0322	P
PTC109-0322	P
PTC110-0322	P
PTC118-0322	P
PTC120-0322	P
PTC121-0322	P
PTC124-0322	P
PTC136-0322	P
PTC142-0322	P
PTC145-0322	P
PTC156-0322	P
PTC159-0322	P
PTC176-0322	P
PTC178-0322	P
PTC180-0322	P
PTC186-0322	P
PTC187-0322	P
PTC22-0322	P
PTC26-0322	P
PTC3-0322	P
PTC36-0322	P
PTC40-0322	P
PTC4-0322	P
PTC98-0322	P
TTC10-0322	T
TTC106-0322	T
TTC107-0322	T
TTC112-0322	T
TTC114-0322	T
TTC116-0322	T
TTC117-0322	T
TTC12-0322	T
TTC13-0322	T
TTC131-0322	T
TTC133-0322	T
TTC136-0322	T
TTC14-0322	T
TTC147-0322	T
TTC149-0322	T
TTC156-0322	T
TTC165-0322	T
TTC169-0322	T
TTC171-0322	T
TTC182-0322	T
TTC190-0322	T
TTC21-0322	T
TTC22-0322	T
TTC26-0322	T
TTC33-0322	T
TTC34-0322	T
TTC38-0322	T
TTC4-0322	T
TTC42-0322	T
TTC44-0322	T
TTC53-0322	T
TTC56-0322	T
TTC59-0322	T
TTC63-0322	T
TTC71-0322	T
TTC78-0322	T
TTC80-0322	T
TTC81-0322	T
TTC86-0322	T
TTC87-0322	T
TTC91-0322	T
NTC102-0407	N
NTC103-0407	N
NTC104-0407	N
NTC106-0407	N
NTC108-0407	N
NTC109-0407	N
NTC110-0407	N
NTC111-0407	N
NTC19-0407	N
NTC20-0407	N
NTC22-0407	N
NTC23-0407	N
NTC24-0407	N
NTC28-0407	N
NTC30-0407	N
NTC34-0407	N
NTC35-0407	N
NTC39-0407	N
NTC42-0407	N
NTC43-0407	N
NTC47-0407	N
NTC48-0407	N
NTC49-0407	N
NTC52-0407	N
NTC53-0407	N
NTC56-0407	N
NTC59-0407	N
NTC63-0407	N
NTC64-0407	N
NTC65-0407	N
NTC68-0407	N
NTC70-0407	N
NTC71-0407	N
NTC75-0407	N
NTC80-0407	N
NTC84-0407	N
NTC86-0407	N
NTC87-0407	N
NTC88-0407	N
NTC9-0407	N
NTC91-0407	N
NTC92-0407	N
NTC97-0407	N
NTC99-0407	N
PTC103-0407	P
PTC104-0407	P
PTC107-0407	P
PTC114-0407	P
PTC2-0407	P
PTC23-0407	P
PTC47-0407	P
PTC62-0407	P
PTC63-0407	P
PTC72-0407	P
PTC73-0407	P
PTC85-0407	P
PTC87-0407	P
PTC91-0407	P
PTC93-0407	P
PTC96-0407	P
TTC100-0407	T
TTC10-0407	T
TTC102-0407	T
TTC103-0407	T
TTC1-0407	T
TTC106-0407	T
TTC108-0407	T
TTC109-0407	T
TTC114-0407	T
TTC115-0407	T
TTC116-0407	T
TTC118-0407	T
TTC119-0407	T
TTC120-0407	T
TTC121-0407	T
TTC122-0407	T
TTC123-0407	T
TTC124-0407	T
TTC128-0407	T
TTC14-0407	T
TTC15-0407	T
TTC164-0407	T
TTC165-0407	T
