cells	labels
P0701-PTC-1-18	P
P0701-PTC-1-19	P
P0701-PTC-1-2	P
P0701-PTC-1-20	P
P0701-PTC-1-21	P
P0701-PTC-1-22	P
P0701-PTC-1-23	P
P0701-PTC-1-24	P
P0701-PTC-1-26	P
P0701-PTC-1-28	P
P0701-PTC-1-3	P
P0701-PTC-1-30	P
P0701-PTC-1-31	P
P0701-PTC-1-33	P
P0701-PTC-1-34	P
P0701-PTC-1-35	P
P0701-PTC-1-36	P
P0701-PTC-1-37	P
P0701-PTC-1-38	P
P0701-PTC-1-4	P
P0701-PTC-1-40	P
P0701-PTC-1-42	P
P0701-PTC-1-43	P
P0701-PTC-1-44	P
P0701-PTC-1-45	P
P0701-PTC-1-47	P
P0701-PTC-1-48	P
P0701-PTC-1-49	P
P0701-PTC-1-5	P
P0701-PTC-1-50	P
P0701-PTC-1-51	P
P0701-PTC-1-52	P
P0701-PTC-1-53	P
P0701-PTC-1-54	P
P0701-PTC-1-55	P
P0701-PTC-1-57	P
P0701-PTC-1-58	P
P0701-PTC-1-6	P
P0701-PTC-1-60	P
P0701-PTC-1-61	P
P0701-PTC-1-62	P
P0701-PTC-1-63	P
P0701-PTC-1-64	P
P0701-PTC-1-66	P
P0701-PTC-1-67	P
P0701-PTC-1-68	P
P0701-PTC-1-69	P
P0701-PTC-1-7	P
P0701-PTC-1-70	P
P0701-PTC-1-72	P
P0701-PTC-1-73	P
P0701-PTC-1-74	P
P0701-PTC-1-76	P
P0701-PTC-1-77	P
P0701-PTC-1-79	P
P0701-PTC-1-8	P
P0701-PTC-1-80	P
P0701-PTC-1-82	P
P0701-PTC-1-83	P
P0701-PTC-1-84	P
P0701-PTC-1-85	P
P0701-PTC-1-87	P
P0701-PTC-1-88	P
P0701-PTC-1-89	P
P0701-PTC-1-9	P
P0701-PTC-1-90	P
P0701-PTC-1-91	P
P0701-PTC-1-92	P
P0701-PTC-1-94	P
P0701-PTC-1-95	P
P0701-PTC-100	P
P0701-PTC-103	P
P0701-PTC-111	P
P0701-PTC-112	P
P0701-PTC-113	P
P0701-PTC-115	P
P0701-PTC-117	P
P0701-PTC-120	P
P0701-PTC-124	P
P0701-PTC-126	P
P0701-PTC-127	P
P0701-PTC-132	P
P0701-PTC-98	P
P0701-TTC-105	P
P0701-TTC-106	P
P0701-TTC-107	P
P0701-TTC-108	P
P0701-TTC-109	P
P0701-TTC-111	P
P0701-TTC-112	P
P0701-TTC-113	P
P0701-TTC-115	P
P0701-TTC-116	P
P0701-TTC-117	P
P0701-TTC-118	P
P0701-TTC-119	P
P0701-TTC-120	P
P0701-TTC-121	P
P0701-TTC-122	P
P0701-TTC-126	P
P0701-TTC-127	P
P0701-TTC-131	P
P0701-TTC-134	P
P0701-TTC-136	P
P0701-TTC-137	P
P0701-TTC-138	P
P0701-TTC-140	P
P0701-TTC-141	P
P0701-TTC-142	P
P0701-TTC-144	P
P0701-TTC-145	P
P0701-TTC-146	P
P0701-TTC-147	P
P0701-TTC-148	P
P0701-TTC-149	P
P0701-TTC-150	P
P0701-TTC-151	P
P0701-TTC-152	P
P0701-TTC-153	P
P0701-TTC-154	P
P0701-TTC-155	P
P0701-TTC-158	P
P0701-TTC-159	P
P0701-TTC-161	P
P0701-TTC-165	P
P0701-TTC-166	P
P0701-TTC-168	P
P0701-TTC-169	P
P0701-TTC-170	P
P0701-TTC-171	P
P0701-TTC-172	P
P0701-TTC-174	P
P0701-TTC-175	P
P0701-TTC-176	P
P0701-TTC-177	P
P0701-TTC-179	P
P0701-TTC-180	P
P0701-TTC-181	P
P0701-TTC-184	P
P0701-TTC-185	P
P0701-TTC-186	P
P0701-TTC-187	P
P0701-TTC-188	P
P0701-TTC-189	P
P0701-TTC-192	P
P0701_TTC-1_17	P
P0701_TTC-1_18	P
P0701_TTC-1_19	P
P0701_TTC-1_20	P
P0701_TTC-1_21	P
P0701_TTC-1_22	P
P0701_TTC-1_23	P
P0701_TTC-1_26	P
P0701_TTC-1_27	P
P0701_TTC-1_28	P
P0701_TTC-1_32	P
P0701_TTC-1_34	P
P0701_TTC-1_35	P
P0701_TTC-1_36	P
P0701_TTC-1_37	P
P0701_TTC-1_38	P
P0701_TTC-1_39	P
P0701_TTC-1_40	P
P0701_TTC-1_41	P
P0701_TTC-1_42	P
P0701_TTC-1_43	P
P0701_TTC-1_44	P
P0701_TTC-1_45	P
P0701_TTC-1_46	P
P0701_TTC-1_47	P
P0701_TTC-1_48	P
P0701_TTC-1_49	P
P0701_TTC-1_50	P
P0701_TTC-1_52	P
P0701_TTC-1_53	P
P0701_TTC-1_54	P
P0701_TTC-1_55	P
P0701_TTC-1_56	P
P0701_TTC-1_57	P
P0701_TTC-1_58	P
P0701_TTC-1_61	P
P0701_TTC-1_62	P
P0701_TTC-1_63	P
P0701_TTC-1_64	P
P0701_TTC-1_65	P
